,statement,source,t/f status
16402,"""Guns have murdered more Americans here at home in recent years than have died on the battlefields of Iraq and Afghanistan.""",Frank Lautenberg,half-true
16403,Says his plan to end the toll on Ga. 400 fulfills his campaign promise to commuters.,Nathan Deal,barely-true
16404,"As a congressman, Mark Neumann ""voted four times to increase our debt.""",Eric Hovde,half-true
16405,"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",Democratic Congressional Campaign Committee,barely-true
16406,"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.""",Sheldon Whitehouse,mostly-true
16407,"Says ""About 7 in 10 of Oregon’s inmates are in prison for violent crimes and serious sex offenses.""",Steve Doell,true
16408,"Says Measure 11 is ""one of the most significant reasons"" for decrease in violent crime.",Steve Doell,mostly-true
16409,"Says the ""largest tax increase in American history is set to occur on January 1st unless President Obama and Congress can come to an agreement.""","Francisco ""Quico"" Canseco",half-true
16410,"Mitt Romney is proposing a tax plan ""that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.""",Barack Obama,mostly-true
16411,"Tim Kaine, as governor, proposed tax increases on people earning ""as little as $17,000.""",George Allen,true
16412,"Says U.S. Senate opponent Eric Hovde ""supported billions in stimulus for high-speed rail""  and ""billions more to bail out banks.""",Mark Neumann,half-true
16413,"""The president’s health care law raids Medicare by more than $500 billion and creates a Medicare rationing board — a group of 15 unelected bureaucrats — to slow the growth of Medicare spending.""",Scott Garrett,barely-true
16414,"In 2010, Betty Sutton ""voted to destroy Medicare.""",National Republican Congressional Committee,false
16415,"""There are close to 900,000 unemployed veterans in America right now.""",Sanford Bishop,true
16416,"""One out of every two kids who are graduating college right now can't find a job.""",Republican Jewish Coalition,mostly-true
16417,"John Mica ""voted to borrow $10 trillion.""",Sandy Adams,half-true
16418,Says 1 in 7 American families is on food stamps.,Sarah Palin,true
16419,"""The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.""",Shirley Turner,true
16420,"""Under the Obama administration’s bailout of General Motors, Ohio dealerships were forced to close.""",Mitt Romney,half-true
16421,"The Congressional Budget Office ""has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.""",Michael Riley,false
16422,"""U.S. Olympic medal winners will owe up to $9,000 to the IRS.""",Americans For Tax Reform,barely-true
16423,"It’s ""typical"" for a presidential candidate to release 10 or 11 years of tax returns.",Bill Clinton,half-true
16424,"President Obama has ""added $4 billion in debt every day.""",Crossroads GPS,half-true
16425,Says Milken Institute rated San Antonio as nation’s top-performing local economy.,Julián Castro,true
16426,"""Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlais's (TN-04) Republican Majority.""",Democratic Congressional Campaign Committee,pants-fire
16427,Says U.S. Senate candidate Eric Hovde has ‘no problem with raising taxes.’,Club for Growth,barely-true
16428,"Says under federal law ""we do not have any limitation on the number of guns and bullets we can buy.""",Robert Menendez,true
16429,"After the 9/11 terrorist attacks grounded commercial air traffic, ""there was a temperature drop while the airplanes weren't flying, for the week afterwards.""",Michael J. Gardiner,barely-true
16430,"""The president's first major foreign policy speech in Cairo was to apologize for our country.""",Kelly Ayotte,false
16431,"""Today the Walton family of Walmart own more wealth than the bottom 40 percent of America.""",Bernie Sanders,true
16432,"President Ronald Reagan sent troops into conflict ""only in one circumstance, which was in Grenada … We were in a peacekeeping setting in Lebanon.""",Mitt Romney,barely-true
16433,"Embryonic stem cell research is at a ""dead end, with no one good example of a successful treatment.""",Dave Weldon,barely-true
16434,"Says ""millions of dollars in tax breaks"" were paid for ""by busting unions, cutting BadgerCare, and raising taxes on the poor and the middle class, thanks to Elizabeth Coggs' help.""",We Are Milwaukee,pants-fire
16435,"""The White House has three staff calligraphers making between $86,000 and $97,000 each, and just one National Security Director. She makes $55,000.""",Mike Huckabee,barely-true
16436,"FCAT tests ""account for less than 1 percent of the instructional time provided during the year.""",Gerard Robinson,false
16437,"""Donna Shalala left me with 12 million doses"" of smallpox vaccine and ""I created enough"" to vaccinate ""every man, woman and child against smallpox in America.""",Tommy Thompson,true
16438,"""What I look at every month is how many more New Jerseyans are back to work. You have another 9,900 last month that are back to work and over almost 90,000 that are back to work now since I became governor.""",Chris Christie,false
16439,"Says his ""patents in ultrasound have revolutionized modern medicine.""",George Flinn,pants-fire
16440,Says former Sen. George Allen voted four times to raise his own pay.,Tim Kaine,mostly-true
16441,"A study showed that President Barack Obama’s health-care reforms will ""devastate Wisconsin"" by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.",Scott Walker,false
16442,"Says Chris Christie ""has refused to fund pensions by billions of dollars,"" and got legislative approval to begin ""properly funding pensions"" in 2018.",Dannel Malloy,mostly-true
16443,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget.",New Boston Republican Committee,false
16444,"""The largest number of bankruptcies in our country are really as a result of health care.""",Patrick Kennedy,half-true
16445,"""The voting public had no say"" in the Atlanta region’s proposed transportation project list.",Lights For Liberty,barely-true
16446,Says U.S. is giving seven Alaskan islands to Russia.,Wes Riddle,false
16447,"Says Minnesota has more Fortune 500 companies than Oregon and ""one of the most obvious differences is they've invested in their schools.""",Jefferson Smith,mostly-true
16448,"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",Jeff Wentworth,pants-fire
16449,Says Romney had the uniforms for the 2002 Winter Olympic games made in Burma.,Priorities USA Action,barely-true
16450,"""Diane Black voted to fund Obamacare.""",Lou Ann Zelenik,false
16451,"Says PolitiFact ""validated and independently documented"" its ""criminal history"" claims about Adan Ballesteros.",Texans for Accountable Government,barely-true
16452,"Says U.S. Rep. Sean Duffy is among seven ""Tea Party freshmen"" who ""spent an average of $15,000 on cars for themselves.""",Scott Keyes,pants-fire
16453,"""As we watch the news from Colorado with horror and sympathy for the families, we should remember that each day more than 80 Americans are killed by gunfire, unnecessary tragedies.""",Rush Holt,half-true
16454,Taxes on groceries and medicine will rise under a plan to improve roads and rail for metro Atlanta.,Vincent Fort,mostly-true
16455,"""Mike Dovilla’s big ideas like expanding the Ohio Motion Picture Tax Credit, which helped bring films like ‘The Avengers’ to Cleveland, have helped make our state No. 1 in the Midwest for job creation.""",Mike Dovilla,half-true
16456,"""I ended up my time as governor with a general fund budget that was smaller than the one I started with.""",Tim Kaine,true
16457,"""In 2010, Mr. [Anthony] Gemma described himself as a 'pro-life' candidate. Now, he claims to be pro-choice.""",NARAL Pro-Choice America,true
16458,"Says he has seen Border Patrol signs near the Mexico border in English, Spanish and Chinese.",David Dewhurst,true
16459,"President Obama was saying success ""is the result of government,"" not ""hard-working people,"" when he said, ""If you've got a business, you didn't build that. Somebody else made that happen.""",Mitt Romney,false
16460,"Twenty two years ago, when he was running for governor, Bill Nelson missed 56 percent of his votes in the U.S. House.",Connie Mack,true
